製品,製品単位,部品,必要量,部品単位,行番,不要
4/292055YX,反,1/45381,4.36,K,3,3
4/292055YX,反,1/843DD,0.17,K,4,4
4/292056LX,反,J/292056LX,1,反,1,1
4/292056LX,反,1/705AA,4.32,K,2,2
4/292056LX,反,1/843FF,1.97,K,3,3
4/292056LX,反,1/843GG,0.11,K,4,4
4/292057YX,反,J/292057YX,1,反,1,1
4/292057YX,反,1/734AA,16.31,K,2,2
4/292058LX,反,J/292058LX,1,反,1,1
4/292058LX,反,1/635AA,3.16,K,2,2
4/292058LX,反,1/854AA,2.43,K,3,3
4/292059LX,反,J/292059LX,1,反,1,1
4/292059LX,反,1/635AA,3.77,K,2,2
4/292059LX,反,1/854AA,1.84,K,3,3
4/292060YX,反,J/292060YX,1,反,1,1
4/292060YX,反,1/844NN,5.7,K,2,2
4/292060YX,反,1/843VV,4.17,K,3,3
4/292061YX,反,J/292061YX,1,反,1,1
4/292061YX,反,1/843ZZ,4.53,K,2,2
4/292061YX,反,1/844DD,3.94,K,3,3
4/292061YX,反,1/849SS,0.55,K,4,4
4/292061YX,反,1/621AA,0.08,K,5,5
4/292062LX,反,J/292062LX,1,反,1,1
4/292062LX,反,1/706AA,5.36,K,2,2
4/292062LX,反,1/843TT,0.22,K,3,3
4/292063LX,反,J/292063LX,1,反,1,1
4/292063LX,反,1/843QQ,1.89,K,2,2
4/292063LX,反,1/843SS,1.89,K,3,3
4/292063LX,反,1/843RR,2.91,K,4,4
4/292064YX,反,J/292064YX,1,反,1,1
4/292064YX,反,1/842CC,4.72,K,2,2
4/292064YX,反,1/842DD,4.04,K,3,3
4/292064YX,反,1/849SS,0.18,K,4,4
4/295000YA,反,J/295000YA,1,反,1,1
4/295000YA,反,3/D5527,6.12,K,2,2
4/295000YA,反,3/D5537,6.12,K,3,3
4/295023YX,反,J/295023YX,1,反,1,1
4/295023YX,反,3/G3007,4.86,K,2,2
4/295023YX,反,3/G3017,4.86,K,3,3
4/295025YX,反,J/295025YX,1,反,1,1
4/295025YX,反,3/B3534,9.18,K,2,2
4/295027YX,反,J/295027YX,1,反,1,1
4/295027YX,反,3/B3534,7.72,K,2,2
4/295028YX,反,J/295028YX,1,反,1,1
4/295028YX,反,3/D0513,3.83,K,2,2
4/295029YX,反,J/295029YX,1,反,1,1
4/295029YX,反,3/D0513,3.83,K,2,2
4/295030YX,反,J/295030YX,1,反,1,1
4/295030YX,反,3/B3534,7.96,K,2,2
4/350035YX,反,J/350035YX,1,反,1,1
4/350035YX,反,1/16461,5.32,K,2,2
4/350035YX,反,3/683AA,10.05,K,3,3
4/350087YX,反,J/350087YX,1,反,1,1
4/350087YX,反,3/A0901,0.43,K,2,2
4/350087YX,反,3/M0953,5.53,K,3,3
4/350087YX,反,3/A0968,5.64,K,4,4
4/350088YX,反,J/350088YX,1,反,1,1
4/350088YX,反,3/A0911,0.43,K,2,2
4/350088YX,反,3/M0973,5.53,K,3,3
4/350088YX,反,3/A0988,5.64,K,4,4
4/350089YX,反,J/350089YX,1,反,1,1
4/350089YX,反,3/A0921,0.43,K,2,2
4/350089YX,反,3/M0993,5.53,K,3,3
4/350089YX,反,3/A1008,5.64,K,4,4
4/350090YX,反,J/350090YX,1,反,1,1
4/350090YX,反,3/A0931,0.43,K,2,2
4/350090YX,反,3/M1013,5.53,K,3,3
4/350090YX,反,3/A1028,5.64,K,4,4
4/390022JX,反,J/390022JX,1,反,1,1
4/390022JX,反,3/D9526,3.14,K,2,2
4/390022JX,反,3/D9626,5.23,K,3,3
4/390022JX,反,3/D9706,0.39,K,4,4
4/390023JX,反,J/390023JX,1,反,1,1
4/390023JX,反,3/D9506,1.01,K,2,2
4/390023JX,反,3/D9546,3.78,K,3,3
4/390023JX,反,3/D9566,1.92,K,4,4
4/390023JX,反,3/D9586,2.04,K,5,5
4/390024CX,反,J/390024CX,1,反,1,1
4/390024CX,反,3/D9726,2.14,K,2,2
4/390024CX,反,3/D9746,6.62,K,3,3
4/390024JX,反,J/390024JX,1,反,1,1
4/390024JX,反,3/D9606,2.14,K,2,2
4/390024JX,反,3/D9626,6.62,K,3,3
4/390025JX,反,J/390025JX,1,反,1,1
4/390025JX,反,3/D9626,1.59,K,2,2
4/390025JX,反,3/D9646,6.35,K,3,3
4/390025JX,反,3/D9666,0.82,K,4,4
4/390026CX,反,J/390026CX,1,反,1,1
4/390026CX,反,3/D9746,4.87,K,2,2
4/390026CX,反,3/D9766,3.89,K,3,3
4/390026JX,反,J/390026JX,1,反,1,1
4/390026JX,反,3/D9626,4.87,K,2,2
4/390026JX,反,3/D9686,3.89,K,3,3
4/390027CX,反,J/390027CX,1,反,1,1
4/390027CX,反,3/D9746,8.77,K,2,2
4/390027JX,反,J/390027JX,1,反,1,1
4/390027JX,反,3/D9626,8.77,K,2,2
4/390028CX,反,J/390028CX,1,反,1,1
4/390028CX,反,3/D9786,4.87,K,2,2
4/390028CX,反,3/D9766,3.89,K,3,3
4/390028JX,反,J/390028JX,1,反,1,1
