元コード,商品コード,名称,単位,数単位,数量小数桁,単価小数桁,課税区分,在庫管理,在庫評価方法,主たる倉庫,担当,売上単価１,売上原価,仕入単価,標準原価,商品分類1,商品分類2,商品分類3
B8957,3/B8957,B8957:Z10F<33T>SD30/12(B07) :TAC(SJ)<135T>BR120/33 :<S1200>WM :                 ,K,本,2,1,1,1,3,HARA,,,,,1426.8,3,,
B9707,3/B9707,B9707:Z10F<56T>SD50/12(B13) :TAC(ES)<110T>BR100/26 :<Z1200>WS :                 ,K,本,2,1,1,1,3,HARA,,,,,1375.1,3,,
B9717,3/B9717,B9717:Z10F<56T>SD50/12(B13) :TAC(ES)<110T>BR100/26 :<S1200>WS :                 ,K,本,2,1,1,1,3,HARA,,,,,1375.1,3,,
B9727,3/B9727,B9727:Z10F<56T>SD50/12(B13) :TAC<110T>BR100/26 : <Z1200>WM :                    ,K,本,2,1,1,1,3,HARA,,,,,1439,3,,
B9737,3/B9737,B9737:Z10F<56T>SD50/12(B13) :TAC<110T>BR100/26 : <S1200>WM :                    ,K,本,2,1,1,1,3,HARA,,,,,1439,3,,
B9847,3/B9847,B9847:Z10F<56T>SD50/12(B13) :TAC(SJ)<110T>BR100/26 :<Z1200>WM :                 ,K,本,2,1,1,1,3,HARA,,,,,1160.5,3,,
B9857,3/B9857,B9857:Z10F<56T>SD50/12(B13) :TAC(SJ)<110T>BR100/26 :<S1200>WM :                 ,K,本,2,1,1,1,3,HARA,,,,,1160.5,3,,
B9867,3/B9867,B9867:Z10F<56T>SD50/12(B13) :TAC(ES)<110T>BR100/26 :<Z1200>WM :                 ,K,本,2,1,1,1,3,HARA,,,,,1375.1,3,,
B9877,3/B9877,B9877:Z10F<56T>SD50/12(B13) :TAC(ES)<110T>BR100/26 :<S1200>WM :                 ,K,本,2,1,1,1,3,HARA,,,,,1375.1,3,,
C0947,3/C0947,C0947:C100% 60/- (ｷﾞｷｮｳ) :/2 <Z1200>WS : :                                      ,K,本,2,1,1,1,3,HARA,,,,,1181.52,3,,
C1676,3/C1676,C1676:CFY(C58ｿﾛ42)45/- :/2<S800>WS : :                                          ,K,本,2,1,1,1,3,HARA,,,,,2111.5,3,,
C3296,3/C3296,C3296:R100%(BR)20/- /2 :<S800>WS : :                                            ,K,本,2,1,1,1,3,HARA,,,,,534.92,3,,
D0056,3/D0056,D0056:ﾄﾘｸｼｵﾝF<120T>SDU108/24 :TAC<110T>BR100/26 :<S800>WS :                     ,K,本,2,1,1,1,3,HARA,,,,,1262,3,,
D0087,3/D0087,D0087:ﾄﾘｸｼｵﾝF<120T>SDU108/24 :(H) Z1200 WM : :                                  ,K,本,2,1,1,1,3,HARA,,,,,1096,3,,
